Material,Material Text,Node,Available Supply,Projected_Shortage_Qty,Need_in_days,daily_shortage_cost,Demand
17,Example Material-17,1645,667735,0,0,1000,288172
18,Example Material-18,1020,450681,0,0,1000,162477
18,Example Material-18,1100,246133,116795,12,1000,362928
18,Example Material-18,1415,178491,22800,29,1000,201291
18,Example Material-18,1645,875192,0,0,1000,262105
19,Example Material-19,1020,348571,0,0,1000,199228
19,Example Material-19,1100,454516,0,0,1000,258655
19,Example Material-19,1415,537094,0,0,1000,387361
19,Example Material-19,1645,815513,0,0,1000,119223
20,Example Material-20,1020,337300,0,0,1000,21903
20,Example Material-20,1100,605173,0,0,1000,196815
20,Example Material-20,1415,159721,0,0,1000,60134
20,Example Material-20,1645,805367,0,0,1000,220517
21,Example Material-21,1020,686948,0,0,1000,114542
21,Example Material-21,1100,750573,0,0,1000,340618
21,Example Material-21,1415,24193,362223,10,1000,386416
21,Example Material-21,1645,591382,0,0,1000,302075
22,Example Material-22,1020,547499,0,0,1000,354033
22,Example Material-22,1100,260990,67794,2,1000,328784
22,Example Material-22,1415,495146,0,0,1000,195758
22,Example Material-22,1645,567446,0,0,1000,240516
23,Example Material-23,1020,418468,0,0,1000,221445
23,Example Material-23,1100,732435,0,0,1000,336276
23,Example Material-23,1415,139306,0,0,1000,31021
23,Example Material-23,1645,786019,0,0,1000,258590
24,Example Material-24,1020,679600,0,0,1000,47843
24,Example Material-24,1100,948685,0,0,1000,274340
24,Example Material-24,1415,910264,0,0,1000,286143
24,Example Material-24,1645,968302,0,0,1000,156922
25,Example Material-25,1020,476293,0,0,1000,90120
25,Example Material-25,1100,512894,0,0,1000,227227
25,Example Material-25,1415,857629,0,0,1000,22336
25,Example Material-25,1645,670634,0,0,1000,275745
26,Example Material-26,1020,280140,70258,18,1000,350398
26,Example Material-26,1100,496032,0,0,1000,203466
26,Example Material-26,1415,196755,0,0,1000,71178
26,Example Material-26,1645,147466,64338,29,1000,211804
27,Example Material-27,1020,551262,0,0,1000,170349
27,Example Material-27,1100,830578,0,0,1000,301533
27,Example Material-27,1415,746151,0,0,1000,304173
27,Example Material-27,1645,394404,0,0,1000,357644
28,Example Material-28,1020,604616,0,0,1000,153346
28,Example Material-28,1100,13313,158390,20,1000,171703
28,Example Material-28,1415,282825,0,0,1000,6686
28,Example Material-28,1645,572232,0,0,1000,160932
29,Example Material-29,1020,636529,0,0,1000,95709
29,Example Material-29,1100,589228,0,0,1000,100987
29,Example Material-29,1415,312754,40152,7,1000,352906
29,Example Material-29,1645,931576,0,0,1000,278770
30,Example Material-30,1020,895966,0,0,1000,307323
30,Example Material-30,1100,521985,0,0,1000,387500
30,Example Material-30,1415,951062,0,0,1000,342784
30,Example Material-30,1645,624886,0,0,1000,370639
31,Example Material-31,1020,589812,0,0,1000,247231
31,Example Material-31,1100,111775,0,0,1000,66143
31,Example Material-31,1415,209207,15143,2,1000,224350
31,Example Material-31,1645,956536,0,0,1000,131475
32,Example Material-32,1020,429071,0,0,1000,36539
32,Example Material-32,1100,366043,0,0,1000,142308
32,Example Material-32,1415,739564,0,0,1000,324316
32,Example Material-32,1645,979702,0,0,1000,266383
33,Example Material-33,1020,920743,0,0,1000,286281
33,Example Material-33,1100,487534,0,0,1000,163307
33,Example Material-33,1415,410756,0,0,1000,327389
33,Example Material-33,1645,869745,0,0,1000,98851
34,Example Material-34,1020,713814,0,0,1000,763
34,Example Material-34,1100,924946,0,0,1000,134446
34,Example Material-34,1415,446254,0,0,1000,43483
34,Example Material-34,1645,99170,238321,3,1000,337491
35,Example Material-35,1020,507235,0,0,1000,112256
35,Example Material-35,1100,880651,0,0,1000,374658
35,Example Material-35,1415,660035,0,0,1000,246599
35,Example Material-35,1645,801598,0,0,1000,384618
36,Example Material-36,1020,806798,0,0,1000,346483
36,Example Material-36,1100,779534,0,0,1000,221668
36,Example Material-36,1415,883258,0,0,1000,375698
36,Example Material-36,1645,685852,0,0,1000,42477
37,Example Material-37,1020,951600,0,0,1000,191768
37,Example Material-37,1100,545627,0,0,1000,174669
37,Example Material-37,1415,526096,0,0,1000,72376
37,Example Material-37,1645,75734,25413,22,1000,101147
38,Example Material-38,1020,441402,0,0,1000,74478
38,Example Material-38,1100,614488,0,0,1000,332130
38,Example Material-38,1415,601502,0,0,1000,204168
38,Example Material-38,1645,895898,0,0,1000,180157
39,Example Material-39,1020,847312,0,0,1000,64740
39,Example Material-39,1100,619411,0,0,1000,189786
39,Example Material-39,1415,568914,0,0,1000,181426
39,Example Material-39,1645,61204,206286,3,1000,267490
40,Example Material-40,1020,184792,32620,15,1000,217412
40,Example Material-40,1100,197163,56143,9,1000,253306
40,Example Material-40,1415,163254,73393,13,1000,236647
40,Example Material-40,1645,673106,0,0,1000,95638
41,Example Material-41,1020,683211,0,0,1000,293187
41,Example Material-41,1100,753590,0,0,1000,4304
41,Example Material-41,1415,70507,151393,18,1000,221900
41,Example Material-41,1645,458704,0,0,1000,261803
42,Example Material-42,1020,60513,18643,5,1000,79156
42,Example Material-42,1100,793471,0,0,1000,151275
42,Example Material-42,1415,278186,89593,30,1000,367779
42,Example Material-42,1645,731011,0,0,1000,292320
43,Example Material-43,1020,920123,0,0,1000,247355
43,Example Material-43,1100,591965,0,0,1000,339009
43,Example Material-43,1415,924686,0,0,1000,198768
43,Example Material-43,1645,710560,0,0,1000,106039
44,Example Material-44,1020,560188,0,0,1000,83089
44,Example Material-44,1100,994381,0,0,1000,269111
44,Example Material-44,1415,802736,0,0,1000,43895
44,Example Material-44,1645,380322,0,0,1000,15904
45,Example Material-45,1020,995487,0,0,1000,333438
45,Example Material-45,1100,421095,0,0,1000,274503
45,Example Material-45,1415,354483,0,0,1000,105430
45,Example Material-45,1645,293693,42831,8,1000,336524
46,Example Material-46,1020,827944,0,0,1000,106168
46,Example Material-46,1100,20169,344104,21,1000,364273
46,Example Material-46,1415,601552,0,0,1000,156622
46,Example Material-46,1645,976428,0,0,1000,223142
47,Example Material-47,1020,82182,0,0,1000,69166
47,Example Material-47,1100,444139,0,0,1000,145218
47,Example Material-47,1415,845294,0,0,1000,288411
47,Example Material-47,1645,20895,241712,7,1000,262607
48,Example Material-48,1020,339561,0,0,1000,210310
48,Example Material-48,1100,787434,0,0,1000,142008
48,Example Material-48,1415,471326,0,0,1000,288614
48,Example Material-48,1645,66963,50590,26,1000,117553
49,Example Material-49,1020,24315,256680,27,1000,280995
49,Example Material-49,1100,487791,0,0,1000,219135
49,Example Material-49,1415,548843,0,0,1000,106812
49,Example Material-49,1645,700869,0,0,1000,113117
50,Example Material-50,1020,773679,0,0,1000,22615
50,Example Material-50,1100,707857,0,0,1000,189753
50,Example Material-50,1415,84856,0,0,1000,76829
50,Example Material-50,1645,608187,0,0,1000,87746
51,Example Material-51,1020,507037,0,0,1000,184886
51,Example Material-51,1100,91898,0,0,1000,49851
51,Example Material-51,1415,486261,0,0,1000,359411
51,Example Material-51,1645,218859,149020,29,1000,367879
52,Example Material-52,1020,514879,0,0,1000,36335
52,Example Material-52,1100,580733,0,0,1000,214161
52,Example Material-52,1415,14469,134452,17,1000,148921
52,Example Material-52,1645,507512,0,0,1000,359802
53,Example Material-53,1020,881735,0,0,1000,79850
53,Example Material-53,1100,765646,0,0,1000,246949
53,Example Material-53,1415,312616,0,0,1000,95797
53,Example Material-53,1645,316527,0,0,1000,206103
54,Example Material-54,1020,274651,32481,29,1000,307132
54,Example Material-54,1100,229574,0,0,1000,25750
54,Example Material-54,1415,132051,191685,8,1000,323736
54,Example Material-54,1645,351680,0,0,1000,192328
55,Example Material-55,1020,734390,0,0,1000,297984
55,Example Material-55,1100,827505,0,0,1000,176239
55,Example Material-55,1415,520790,0,0,1000,352187
55,Example Material-55,1645,886780,0,0,1000,274649
56,Example Material-56,1020,551388,0,0,1000,228037
56,Example Material-56,1100,322911,0,0,1000,60069
56,Example Material-56,1415,169576,0,0,1000,90676
56,Example Material-56,1645,758564,0,0,1000,234367
57,Example Material-57,1020,679598,0,0,1000,278278
57,Example Material-57,1100,895365,0,0,1000,308786
57,Example Material-57,1415,774847,0,0,1000,90512
57,Example Material-57,1645,166070,17389,27,1000,183459
58,Example Material-58,1020,105885,66305,22,1000,172190
58,Example Material-58,1100,874020,0,0,1000,371055
58,Example Material-58,1415,244276,0,0,1000,64528
58,Example Material-58,1645,124924,45768,19,1000,170692
59,Example Material-59,1020,639234,0,0,1000,302047
59,Example Material-59,1100,725134,0,0,1000,149395
59,Example Material-59,1415,513227,0,0,1000,91706
59,Example Material-59,1645,51578,62826,16,1000,114404
60,Example Material-60,1020,47780,153456,11,1000,201236
60,Example Material-60,1100,777348,0,0,1000,235676
60,Example Material-60,1415,77952,162284,10,1000,240236
60,Example Material-60,1645,654582,0,0,1000,24931
61,Example Material-61,1020,325069,0,0,1000,46017
61,Example Material-61,1100,199616,68607,5,1000,268223
61,Example Material-61,1415,713233,0,0,1000,157207
61,Example Material-61,1645,688362,0,0,1000,206140
62,Example Material-62,1020,72468,0,0,1000,31343
62,Example Material-62,1100,792442,0,0,1000,190142
62,Example Material-62,1415,622498,0,0,1000,57590
62,Example Material-62,1645,997234,0,0,1000,308496
63,Example Material-63,1020,391652,0,0,1000,333013
63,Example Material-63,1100,468660,0,0,1000,27424
63,Example Material-63,1415,410051,0,0,1000,13372
63,Example Material-63,1645,975687,0,0,1000,394339
64,Example Material-64,1020,790001,0,0,1000,236208
64,Example Material-64,1100,627794,0,0,1000,294143
64,Example Material-64,1415,54130,85551,13,1000,139681
64,Example Material-64,1645,861388,0,0,1000,226618
65,Example Material-65,1020,448055,0,0,1000,72982
65,Example Material-65,1100,352004,0,0,1000,212745
65,Example Material-65,1415,917485,0,0,1000,195874
65,Example Material-65,1645,146641,0,0,1000,60381
66,Example Material-66,1020,77497,189092,26,1000,266589
66,Example Material-66,1100,734512,0,0,1000,230219
66,Example Material-66,1415,280969,76753,27,1000,357722
66,Example Material-66,1645,283876,0,0,1000,49855
67,Example Material-67,1020,562293,0,0,1000,281626
67,Example Material-67,1100,918558,0,0,1000,294982
67,Example Material-67,1415,542701,0,0,1000,313516
67,Example Material-67,1645,30932,69566,18,1000,100498
68,Example Material-68,1020,566988,0,0,1000,121481
68,Example Material-68,1100,328048,0,0,1000,137794
68,Example Material-68,1415,478653,0,0,1000,204495
68,Example Material-68,1645,977808,0,0,1000,177735
69,Example Material-69,1020,349151,0,0,1000,61082
69,Example Material-69,1100,787876,0,0,1000,170312
69,Example Material-69,1415,120401,148173,1,1000,268574
69,Example Material-69,1645,335612,52954,1,1000,388566
70,Example Material-70,1020,820624,0,0,1000,275590
70,Example Material-70,1100,49428,99705,29,1000,149133
70,Example Material-70,1415,209560,0,0,1000,175288
70,Example Material-70,1645,513166,0,0,1000,340021
71,Example Material-71,1020,325009,0,0,1000,247917
71,Example Material-71,1100,239447,0,0,1000,198313
71,Example Material-71,1415,232175,134306,25,1000,366481
71,Example Material-71,1645,742643,0,0,1000,53902
72,Example Material-72,1020,169857,0,0,1000,22886
72,Example Material-72,1100,69410,278813,12,1000,348223
72,Example Material-72,1415,809204,0,0,1000,143568
72,Example Material-72,1645,729858,0,0,1000,116604
73,Example Material-73,1020,832569,0,0,1000,231393
73,Example Material-73,1100,743747,0,0,1000,253990
73,Example Material-73,1415,564457,0,0,1000,313466
73,Example Material-73,1645,33937,153783,15,1000,187720
74,Example Material-74,1020,596602,0,0,1000,288590
74,Example Material-74,1100,411938,0,0,1000,266338
74,Example Material-74,1415,362919,0,0,1000,350254
74,Example Material-74,1645,857308,0,0,1000,304950
75,Example Material-75,1020,465494,0,0,1000,47203
75,Example Material-75,1100,67390,155413,10,1000,222803
75,Example Material-75,1415,155359,231739,24,1000,387098
75,Example Material-75,1645,701992,0,0,1000,93108
76,Example Material-76,1020,286543,0,0,1000,283846
76,Example Material-76,1100,188839,30380,23,1000,219219
76,Example Material-76,1415,238714,0,0,1000,121423
76,Example Material-76,1645,512625,0,0,1000,58536
77,Example Material-77,1020,9580,151156,5,1000,160736
77,Example Material-77,1100,471018,0,0,1000,212802
77,Example Material-77,1415,522834,0,0,1000,104130
77,Example Material-77,1645,364478,0,0,1000,16463
78,Example Material-78,1020,628154,0,0,1000,135641
78,Example Material-78,1100,480990,0,0,1000,54363
78,Example Material-78,1415,743460,0,0,1000,352287
78,Example Material-78,1645,257573,0,0,1000,76122
79,Example Material-79,1020,649836,0,0,1000,380937
79,Example Material-79,1100,486021,0,0,1000,117274
79,Example Material-79,1415,863037,0,0,1000,317411
79,Example Material-79,1645,13043,256555,3,1000,269598
80,Example Material-80,1020,775283,0,0,1000,130986
80,Example Material-80,1100,156348,58377,25,1000,214725
80,Example Material-80,1415,301084,0,0,1000,271106
80,Example Material-80,1645,191365,0,0,1000,160802
81,Example Material-81,1020,821163,0,0,1000,220170
81,Example Material-81,1100,643400,0,0,1000,10926
81,Example Material-81,1415,711697,0,0,1000,233917
81,Example Material-81,1645,192295,0,0,1000,188913
82,Example Material-82,1020,231515,0,0,1000,197963
82,Example Material-82,1100,465896,0,0,1000,196527
82,Example Material-82,1415,59636,0,0,1000,30060
82,Example Material-82,1645,785994,0,0,1000,392917
83,Example Material-83,1020,593530,0,0,1000,77477
83,Example Material-83,1100,105202,0,0,1000,23237
83,Example Material-83,1415,841828,0,0,1000,45572
83,Example Material-83,1645,471676,0,0,1000,92568
84,Example Material-84,1020,869029,0,0,1000,254530
84,Example Material-84,1100,995894,0,0,1000,99844
84,Example Material-84,1415,562002,0,0,1000,18870
84,Example Material-84,1645,700781,0,0,1000,312342
85,Example Material-85,1020,603464,0,0,1000,123187
85,Example Material-85,1100,723530,0,0,1000,194932
85,Example Material-85,1415,823038,0,0,1000,191930
85,Example Material-85,1645,610875,0,0,1000,304164
86,Example Material-86,1020,560190,0,0,1000,376071
86,Example Material-86,1100,554268,0,0,1000,255331
86,Example Material-86,1415,656688,0,0,1000,339941
86,Example Material-86,1645,74095,53233,4,1000,127328
87,Example Material-87,1020,487011,0,0,1000,33384
87,Example Material-87,1100,435810,0,0,1000,364312
87,Example Material-87,1415,333138,0,0,1000,125780
87,Example Material-87,1645,556254,0,0,1000,249969
88,Example Material-88,1020,281055,0,0,1000,77902
88,Example Material-88,1100,901940,0,0,1000,327427
88,Example Material-88,1415,429176,0,0,1000,374659
88,Example Material-88,1645,114055,193863,25,1000,307918
89,Example Material-89,1020,657259,0,0,1000,61994
89,Example Material-89,1100,665507,0,0,1000,35618
89,Example Material-89,1415,134888,12739,4,1000,147627
89,Example Material-89,1645,82106,117598,22,1000,199704
90,Example Material-90,1020,73100,0,0,1000,38261
90,Example Material-90,1100,426591,0,0,1000,363222
90,Example Material-90,1415,472891,0,0,1000,47018
90,Example Material-90,1645,335638,0,0,1000,241124
91,Example Material-91,1020,260091,40263,30,1000,300354
91,Example Material-91,1100,811347,0,0,1000,62956
91,Example Material-91,1415,841356,0,0,1000,309472
91,Example Material-91,1645,640299,0,0,1000,79764
92,Example Material-92,1020,843112,0,0,1000,159215
92,Example Material-92,1100,672786,0,0,1000,30247
92,Example Material-92,1415,241959,0,0,1000,76148
92,Example Material-92,1645,882768,0,0,1000,180791
93,Example Material-93,1020,774589,0,0,1000,248325
93,Example Material-93,1100,674817,0,0,1000,139966
93,Example Material-93,1415,917480,0,0,1000,73612
93,Example Material-93,1645,842294,0,0,1000,118239
94,Example Material-94,1020,707332,0,0,1000,180026
94,Example Material-94,1100,615394,0,0,1000,323650
94,Example Material-94,1415,8682,338380,4,1000,347062
94,Example Material-94,1645,759219,0,0,1000,297548
95,Example Material-95,1020,606842,0,0,1000,127616
95,Example Material-95,1100,612083,0,0,1000,350394
95,Example Material-95,1415,888882,0,0,1000,121593
95,Example Material-95,1645,294317,0,0,1000,80690
96,Example Material-96,1020,233752,0,0,1000,211023
96,Example Material-96,1100,543436,0,0,1000,242684
96,Example Material-96,1415,431142,0,0,1000,59923
96,Example Material-96,1645,862029,0,0,1000,289024
97,Example Material-97,1020,335634,64175,24,1000,399809
97,Example Material-97,1100,857608,0,0,1000,353000
97,Example Material-97,1415,883235,0,0,1000,131042
97,Example Material-97,1645,435083,0,0,1000,126796
98,Example Material-98,1020,788494,0,0,1000,29475
98,Example Material-98,1100,639737,0,0,1000,263797
98,Example Material-98,1415,840038,0,0,1000,40161
98,Example Material-98,1645,395954,0,0,1000,340608
99,Example Material-99,1020,883485,0,0,1000,303361
99,Example Material-99,1100,692539,0,0,1000,9808
99,Example Material-99,1415,495224,0,0,1000,119472
99,Example Material-99,1645,918413,0,0,1000,57932
100,Example Material-100,1020,987961,0,0,1000,344093
100,Example Material-100,1100,954761,0,0,1000,176961
100,Example Material-100,1415,129201,120585,10,1000,249786
100,Example Material-100,1645,343956,0,0,1000,68981
101,Example Material-101,1020,843527,0,0,1000,255876
101,Example Material-101,1100,469649,0,0,1000,373981
101,Example Material-101,1415,705021,0,0,1000,261949
101,Example Material-101,1645,320913,0,0,1000,167491
102,Example Material-102,1020,904930,0,0,1000,50921
102,Example Material-102,1100,97716,0,0,1000,91925
102,Example Material-102,1415,720218,0,0,1000,292029
102,Example Material-102,1645,578614,0,0,1000,62310
103,Example Material-103,1020,170867,119215,13,1000,290082
103,Example Material-103,1100,591600,0,0,1000,158913
103,Example Material-103,1415,634219,0,0,1000,605
103,Example Material-103,1645,523686,0,0,1000,310336
104,Example Material-104,1020,121227,0,0,1000,104970
104,Example Material-104,1100,907249,0,0,1000,10379
104,Example Material-104,1415,870375,0,0,1000,144599
104,Example Material-104,1645,651305,0,0,1000,356239
105,Example Material-105,1020,94276,181153,8,1000,275429
105,Example Material-105,1100,877104,0,0,1000,155206
105,Example Material-105,1415,70541,48968,16,1000,119509
105,Example Material-105,1645,509888,0,0,1000,80529
106,Example Material-106,1020,403788,0,0,1000,348895
106,Example Material-106,1100,507274,0,0,1000,284934
106,Example Material-106,1415,147904,0,0,1000,28515
106,Example Material-106,1645,953804,0,0,1000,77634
107,Example Material-107,1020,918558,0,0,1000,261567
107,Example Material-107,1100,493617,0,0,1000,252125
107,Example Material-107,1415,401435,0,0,1000,229811
107,Example Material-107,1645,396225,0,0,1000,59300
108,Example Material-108,1020,350884,0,0,1000,302494
108,Example Material-108,1100,985945,0,0,1000,69692
108,Example Material-108,1415,57082,97085,13,1000,154167
108,Example Material-108,1645,219140,99904,3,1000,319044
109,Example Material-109,1020,395942,0,0,1000,80213
109,Example Material-109,1100,485598,0,0,1000,26527
109,Example Material-109,1415,510585,0,0,1000,329007
109,Example Material-109,1645,908667,0,0,1000,3977
110,Example Material-110,1020,709646,0,0,1000,157800
110,Example Material-110,1100,401746,0,0,1000,184709
110,Example Material-110,1415,348403,0,0,1000,46203
110,Example Material-110,1645,896013,0,0,1000,257612
111,Example Material-111,1020,7172,65731,4,1000,72903
111,Example Material-111,1100,424003,0,0,1000,375481
111,Example Material-111,1415,395421,0,0,1000,303495
111,Example Material-111,1645,984466,0,0,1000,54830
112,Example Material-112,1020,374378,0,0,1000,259808
112,Example Material-112,1100,737366,0,0,1000,185258
112,Example Material-112,1415,208111,63067,1,1000,271178
112,Example Material-112,1645,670003,0,0,1000,120017
113,Example Material-113,1020,992518,0,0,1000,135978
113,Example Material-113,1100,350036,0,0,1000,185808
113,Example Material-113,1415,987095,0,0,1000,43499
113,Example Material-113,1645,866808,0,0,1000,283636
114,Example Material-114,1020,643169,0,0,1000,55870
114,Example Material-114,1100,788907,0,0,1000,178706
114,Example Material-114,1415,284589,0,0,1000,236686
114,Example Material-114,1645,425079,0,0,1000,186235
115,Example Material-115,1020,367879,0,0,1000,199728
115,Example Material-115,1100,590118,0,0,1000,198612
115,Example Material-115,1415,212930,0,0,1000,191858
115,Example Material-115,1645,834589,0,0,1000,93871
116,Example Material-116,1020,751869,0,0,1000,79803
116,Example Material-116,1100,492415,0,0,1000,95077
116,Example Material-116,1415,345365,0,0,1000,36765
116,Example Material-116,1645,448981,0,0,1000,84866
117,Example Material-117,1020,933166,0,0,1000,224423
117,Example Material-117,1100,72173,264201,13,1000,336374
117,Example Material-117,1415,62027,88313,6,1000,150340
117,Example Material-117,1645,965056,0,0,1000,318277
118,Example Material-118,1020,801995,0,0,1000,96057
118,Example Material-118,1100,907275,0,0,1000,4269
118,Example Material-118,1415,106398,0,0,1000,5005
118,Example Material-118,1645,910304,0,0,1000,333775
119,Example Material-119,1020,549032,0,0,1000,269585
119,Example Material-119,1100,447608,0,0,1000,391253
119,Example Material-119,1415,189819,0,0,1000,135388
119,Example Material-119,1645,144802,89934,13,1000,234736
120,Example Material-120,1020,221375,142434,30,1000,363809
120,Example Material-120,1100,41153,98065,4,1000,139218
120,Example Material-120,1415,627312,0,0,1000,328425
120,Example Material-120,1645,982237,0,0,1000,183903
121,Example Material-121,1020,18139,52698,6,1000,70837
121,Example Material-121,1100,91994,0,0,1000,68191
121,Example Material-121,1415,963865,0,0,1000,313063
121,Example Material-121,1645,146627,0,0,1000,43271
122,Example Material-122,1020,535106,0,0,1000,12386
122,Example Material-122,1100,869154,0,0,1000,4641
122,Example Material-122,1415,82230,19778,22,1000,102008
122,Example Material-122,1645,922302,0,0,1000,364588
123,Example Material-123,1020,537852,0,0,1000,252562
123,Example Material-123,1100,160824,123761,27,1000,284585
123,Example Material-123,1415,82720,162640,23,1000,245360
123,Example Material-123,1645,474762,0,0,1000,132925
124,Example Material-124,1020,89283,0,0,1000,28334
124,Example Material-124,1100,732668,0,0,1000,97845
124,Example Material-124,1415,57402,269787,23,1000,327189
124,Example Material-124,1645,669984,0,0,1000,341470
125,Example Material-125,1020,93758,0,0,1000,38340
125,Example Material-125,1100,236876,141280,7,1000,378156
125,Example Material-125,1415,77565,0,0,1000,65039
125,Example Material-125,1645,565088,0,0,1000,256806
126,Example Material-126,1020,448817,0,0,1000,373211
126,Example Material-126,1100,568372,0,0,1000,86035
126,Example Material-126,1415,95728,0,0,1000,34162
126,Example Material-126,1645,571795,0,0,1000,325319
127,Example Material-127,1020,963897,0,0,1000,26378
127,Example Material-127,1100,708165,0,0,1000,253665
127,Example Material-127,1415,278285,0,0,1000,16646
127,Example Material-127,1645,115858,7963,19,1000,123821
128,Example Material-128,1020,853020,0,0,1000,18143
128,Example Material-128,1100,539736,0,0,1000,176280
128,Example Material-128,1415,268114,0,0,1000,51788
128,Example Material-128,1645,344557,40722,24,1000,385279
129,Example Material-129,1020,992804,0,0,1000,267925
129,Example Material-129,1100,893634,0,0,1000,973
129,Example Material-129,1415,782807,0,0,1000,170979
129,Example Material-129,1645,957292,0,0,1000,61274
130,Example Material-130,1020,395028,0,0,1000,235940
130,Example Material-130,1100,296792,75872,8,1000,372664
130,Example Material-130,1415,856303,0,0,1000,162656
130,Example Material-130,1645,708528,0,0,1000,327007
131,Example Material-131,1020,675294,0,0,1000,134772
131,Example Material-131,1100,61312,330630,12,1000,391942
131,Example Material-131,1415,663208,0,0,1000,133338
131,Example Material-131,1645,512455,0,0,1000,5932
132,Example Material-132,1020,67108,101055,6,1000,168163
132,Example Material-132,1100,173844,0,0,1000,74675
132,Example Material-132,1415,775126,0,0,1000,60725
132,Example Material-132,1645,73270,189810,10,1000,263080
133,Example Material-133,1020,566695,0,0,1000,146461
133,Example Material-133,1100,368737,0,0,1000,5607
133,Example Material-133,1415,64115,254511,27,1000,318626
133,Example Material-133,1645,266141,0,0,1000,6695
134,Example Material-134,1020,961233,0,0,1000,334585
134,Example Material-134,1100,840137,0,0,1000,359264
134,Example Material-134,1415,587193,0,0,1000,99988
134,Example Material-134,1645,181940,139584,12,1000,321524
135,Example Material-135,1020,699897,0,0,1000,192576
135,Example Material-135,1100,406993,0,0,1000,390505
135,Example Material-135,1415,967459,0,0,1000,355769
135,Example Material-135,1645,265209,0,0,1000,153670
136,Example Material-136,1020,394151,0,0,1000,207233
136,Example Material-136,1100,518785,0,0,1000,18196
136,Example Material-136,1415,52230,231094,18,1000,283324
136,Example Material-136,1645,438799,0,0,1000,254717
137,Example Material-137,1020,126560,171898,13,1000,298458
137,Example Material-137,1100,403320,0,0,1000,53664
137,Example Material-137,1415,959326,0,0,1000,126883
137,Example Material-137,1645,162546,0,0,1000,60404
138,Example Material-138,1020,510473,0,0,1000,9122
138,Example Material-138,1100,710729,0,0,1000,29539
138,Example Material-138,1415,236918,0,0,1000,167133
138,Example Material-138,1645,231430,0,0,1000,124885
